,Country/Region,Population
Italy,Italy,60421760
Portugal,Portugal,10283822
World,World,7594270356
Rwanda,Rwanda,12301939
Bulgaria,Bulgaria,7025037
Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),1078209758
North Macedonia,North Macedonia,2082958
Kuwait,Kuwait,4137309
Small states,Small states,40575321
Guinea,Guinea,12414318
South Africa,South Africa,57779622
Middle income,Middle income,5678540888
Nauru,Nauru,12704
Slovakia,Slovakia,5446771
Thailand,Thailand,69428524
Benin,Benin,11485048
South Asia (IDA & IBRD),South Asia (IDA & IBRD),1814388744
Antigua and Barbuda,Antigua and Barbuda,96286
Comoros,Comoros,832322
Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),417797257
Gabon,Gabon,2119275
Croatia,Croatia,4087843
South Asia,South Asia,1814388744
Burma,Burma,53708395
Sint Maarten (Dutch part),Sint Maarten (Dutch part),40654
Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),459865205
United Arab Emirates,United Arab Emirates,9630959
Liechtenstein,Liechtenstein,37910
Dominican Republic,Dominican Republic,10627165
Australia,Australia,24982688
Japan,Japan,126529100
Iraq,Iraq,38433600
Mongolia,Mongolia,3170208
IBRD only,IBRD only,4772284113
Latin America & Caribbean,Latin America & Caribbean,641357515
Low income,Low income,705417321
Ukraine,Ukraine,44622516
Lesotho,Lesotho,2108132
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,110210
Brazil,Brazil,209469333
Fiji,Fiji,883483
Belgium,Belgium,11433256
Uruguay,Uruguay,3449299
East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),2081651801
Saudi Arabia,Saudi Arabia,33699947
Other small states,Other small states,30758989
Gibraltar,Gibraltar,33718
Virgin Islands (U.S.),Virgin Islands (U.S.),106977
Canada,Canada,37057765
Czechia,Czechia,10629928
Puerto Rico,Puerto Rico,3195153
Tajikistan,Tajikistan,9100837
Least developed countries: UN classification,Least developed countries: UN classification,1009662578
Honduras,Honduras,9587522
American Samoa,American Samoa,55465
Hungary,Hungary,9775564
Low & middle income,Low & middle income,6383958209
China,China,1392730000
Slovenia,Slovenia,2073894
High income,High income,1210312147
France,France,66977107
Libya,Libya,6678567
Denmark,Denmark,5793636
Middle East & North Africa,Middle East & North Africa,448912859
British Virgin Islands,British Virgin Islands,29802
Bermuda,Bermuda,63973
Mauritania,Mauritania,4403319
OECD members,OECD members,1303529456
Syria,Syria,16906283
Early-demographic dividend,Early-demographic dividend,3249140605
Haiti,Haiti,11123176
Uganda,Uganda,42723139
Algeria,Algeria,42228429
"Korea, South","Korea, South",51606633
Chad,Chad,15477751
Faroe Islands,Faroe Islands,48497
East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (IDA & IBRD countries),2056064424
Timor-Leste,Timor-Leste,1267972
Brunei,Brunei,428962
Dominica,Dominica,71625
Malaysia,Malaysia,31528585
Venezuela,Venezuela,28870195
Europe & Central Asia,Europe & Central Asia,918793590
Austria,Austria,8840521
Monaco,Monaco,38682
Late-demographic dividend,Late-demographic dividend,2288665963
Barbados,Barbados,286641
European Union,European Union,446786293
Marshall Islands,Marshall Islands,58413
Argentina,Argentina,44494502
Seychelles,Seychelles,96762
Romania,Romania,19466145
Tuvalu,Tuvalu,11508
Norway,Norway,5311916
India,India,1352617328
Belarus,Belarus,9483499
Cuba,Cuba,11338138
Iceland,Iceland,352721
Kyrgyzstan,Kyrgyzstan,6322800
Mexico,Mexico,126190788
Mauritius,Mauritius,1265303
Gambia,Gambia,2280102
North America,North America,364290258
Somalia,Somalia,15008154
Paraguay,Paraguay,6956071
Oman,Oman,4829483
Qatar,Qatar,2781677
Cyprus,Cyprus,1189265
Channel Islands,Channel Islands,170499
Liberia,Liberia,4818977
Fragile and conflict affected situations,Fragile and conflict affected situations,743958386
IDA blend,IDA blend,555830605
Saint Lucia,Saint Lucia,181889
Malawi,Malawi,18143315
IDA & IBRD total,IDA & IBRD total,6412522234
East Asia & Pacific,East Asia & Pacific,2328220870
Burundi,Burundi,11175378
Nigeria,Nigeria,195874740
Samoa,Samoa,196130
New Zealand,New Zealand,4841000
Guam,Guam,165768
Vietnam,Vietnam,95540395
Ethiopia,Ethiopia,109224559
United Kingdom,United Kingdom,66460344
Cambodia,Cambodia,16249798
Colombia,Colombia,49648685
Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),625569713
Eswatini,Eswatini,1136191
Indonesia,Indonesia,267663435
Angola,Angola,30809762
Lithuania,Lithuania,2801543
Togo,Togo,7889094
Lebanon,Lebanon,6848925
Sierra Leone,Sierra Leone,7650154
Trinidad and Tobago,Trinidad and Tobago,1389858
Sub-Saharan Africa,Sub-Saharan Africa,1078306520
Northern Mariana Islands,Northern Mariana Islands,56882
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",112640
Azerbaijan,Azerbaijan,9939800
Botswana,Botswana,2254126
Israel,Israel,8882800
Pakistan,Pakistan,212215030
Afghanistan,Afghanistan,37172386
"Macao SAR, China","Macao SAR, China",631636
Guinea-Bissau,Guinea-Bissau,1874309
Bahrain,Bahrain,1569439
Madagascar,Madagascar,26262368
Grenada,Grenada,111454
Iran,Iran,81800269
Luxembourg,Luxembourg,607950
Turks and Caicos Islands,Turks and Caicos Islands,37665
Philippines,Philippines,106651922
Kiribati,Kiribati,115847
Tunisia,Tunisia,11565204
Eritrea,Eritrea,3213972
Yemen,Yemen,28498687
Cabo Verde,Cabo Verde,543767
Sri Lanka,Sri Lanka,21670000
IDA only,IDA only,1084407516
Lower middle income,Lower middle income,3022905169
"Hong Kong SAR, China","Hong Kong SAR, China",7451000
Turkey,Turkey,82319724
Malta,Malta,484630
Tonga,Tonga,103197
Peru,Peru,31989256
Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),378327628
Maldives,Maldives,515696
Cayman Islands,Cayman Islands,64174
Sweden,Sweden,10175214
Bolivia,Bolivia,11353142
Burkina Faso,Burkina Faso,19751535
Greece,Greece,10731726
Sudan,Sudan,41801533
Poland,Poland,37974750
Russia,Russia,144478050
Germany,Germany,82905782
Netherlands,Netherlands,17231624
Serbia,Serbia,6982604
Congo (Brazzaville),Congo (Brazzaville),84068091
Sao Tome and Principe,Sao Tome and Principe,211028
Euro area,Euro area,341783171
Guatemala,Guatemala,17247807
Guyana,Guyana,779004
Albania,Albania,2866376
Ghana,Ghana,29767108
New Caledonia,New Caledonia,284060
Niger,Niger,22442948
Pacific island small states,Pacific island small states,2457367
Cote d'Ivoire,Cote d'Ivoire,25069229
Djibouti,Djibouti,958920
Latvia,Latvia,1927174
Caribbean small states,Caribbean small states,7358965
Costa Rica,Costa Rica,4999441
Turkmenistan,Turkmenistan,5850908
Uzbekistan,Uzbekistan,32955400
Pre-demographic dividend,Pre-demographic dividend,919485393
French Polynesia,French Polynesia,277679
Laos,Laos,7061507
West Bank and Gaza,West Bank and Gaza,4569087
Switzerland,Switzerland,8513227
Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),780234406
Vanuatu,Vanuatu,292680
Ireland,Ireland,4867309
IDA total,IDA total,1640238121
Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (IDA & IBRD countries),1078306520
Spain,Spain,46796540
Namibia,Namibia,2448255
Palau,Palau,17907
Suriname,Suriname,575991
Andorra,Andorra,77006
Curacao,Curacao,159800
Jamaica,Jamaica,2934855
US,US,326687501
Kenya,Kenya,51393010
Belize,Belize,383071
San Marino,San Marino,33785
Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),609013934
Isle of Man,Isle of Man,84077
Kazakhstan,Kazakhstan,18272430
El Salvador,El Salvador,6420744
Central Europe and the Baltics,Central Europe and the Baltics,102511922
"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep.",25549819
